Statistik från Skolverket, https://www.skolverket.se;;;;;;;;;;
;;;;;;;;;;
Grundskola - Slutbetyg årskurs 9, samtliga elever;;;;;;;;;;
Valt läsår: 2024/25;;;;;;;;;;
;;;;;;;;;;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Andel (%) elever som uppfyllt betygskriterierna i alla ämnen;Andel (%) elever behöriga till yrkesprog.;Genomsnittligt meritvärde (17 ämnen)
Oasens skola;48000763;Aneby;0604;Enskild;Oasen Utbildningscenter AB;5566501796;..;.;.;..
Edenskolan;69498258;Bollnäs;2183;Enskild;Stiftelsen Bollnäs Bibelcenter;8865009610;..;..;..;..
Åkerboskolan;82520504;Borgholm;0885;Kommunal;Borgholms kommun;2120000795;10;..;..;..
Immanuelskolan;24147931;Borlänge;2081;Enskild;Stiftelsen Immanuel;8826020722;11;..;..;..
Lanternan;59137023;Borlänge;2081;Enskild;Adventum Specialpedagogik AB;5563876753;..;..;..;..
Fredriksborgskolan F-9;13746989;Borås;1490;Kommunal;Borås kommun;2120001561;..;..;..;..
Broarps skola;30452569;Eksjö;0686;Enskild;Viljan Individ och Familj AB;5564778958;..;.;..;..
Bergtallens skola;73178642;Enköping;0381;Enskild;Villberga Familjecenter Aktiebolag;5565716650;..;.;..;..
Lövsta resursskola;23656786;Gotland;0980;Kommunal;Region Gotland;2120000803;..;.;.;..
Tal och Språk 7-9;64662433;Gotland;0980;Kommunal;Region Gotland;2120000803;..;.;.;..
Kannebäcksskolan 1-9 resursskola;55529681;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;..;..;..;..
Kannebäcksskolan Döv och hörsel F-9;56339656;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;..;..;..;..
Magelungens Grundskola Karlaskolan Göteborg;97205555;Göteborg;1480;Enskild;Magelungen Utveckling AB;5564891447;..;.;..;..
Lunden;38081093;Götene;1471;Kommunal;Götene kommun;2120001652;..;.;.;..
Eviaskolan;14845171;Haninge;0136;Enskild;Evia Utveckling AB;5567379093;..;..;..;..
Utö skola;47140640;Haninge;0136;Kommunal;Haninge kommun;2120000084;..;..;..;..
Annaskolan;95227669;Hedemora;2083;Enskild;Stiftelsen Annaskolan;8820007485;..;..;..;..
Dormsjöskolan/grundskola/anpassad grundskola;36022766;Hedemora;2083;Enskild;AB Dormsjöskolan;5567692081;..;.;..;..
Corpore Byskola;19676761;Helsingborg;1283;Enskild;Impius Utvecklings AB;5565523858;..;..;..;..
Dibber International School Helsingborg;19593407;Helsingborg;1283;Enskild;Dibber Rydebäck AB;5565843132;..;..;..;..
Magelungens Grundskola Helsingborg;90553565;Helsingborg;1283;Enskild;Magelungen Utveckling AB;5564891447;..;.;..;..
Pauliskolan;50194424;Helsingborg;1283;Enskild;Stiftelsen Pauliskolan;8430021918;..;..;..;..
Delsbo waldorfskola;22518275;Hudiksvall;2184;Enskild;Skolföreningen Delsbo Waldorfskola;8875007158;..;..;..;..
Centrumskolan;29257251;Hylte;1315;Kommunal;Hylte kommun;2120001207;..;.;..;..
Hedda Wising Resursskola;14491257;Härnösand;2280;Kommunal;Härnösands kommun;2120002403;..;..;..;..
Bokalyckan;62848263;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;..;.;..;..
Pålstorpsskolan;86939179;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;..;..;..;..
Vuollerims Friskola;33468088;Jokkmokk;2510;Enskild;Vuollerims Friskola AB;5567857262;..;..;..;..
Magnus Ladulåsskolan;17890412;Jönköping;0680;Enskild;J-Son Pedagogikcentrum AB;5566126479;..;.;.;..
Nordskogens skola;99502676;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;..;.;.;..
Vittra Samset;49572930;Jönköping;0680;Enskild;Vittraskolorna AB;5564586716;..;..;..;..
Kalmar waldorfskola;16517618;Kalmar;0880;Enskild;Stiftelsen Kalmar Waldorfskola;8324012288;..;..;..;..
Karlskrona Resursskola Aklejaskolan;29794705;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;..;..;..;..
Resursskola Marieberg;12271356;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;..;..;..;..
Resursskola Rud;53731981;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;..;.;..;..
Resursskola Örsholmen;16487755;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;..;..;..;..
Centrumskolan - Lagaholm resursskola;13421734;Laholm;1381;Kommunal;Laholms kommun;2120001223;..;..;..;..
Titanskolan;26343031;Landskrona;1282;Kommunal;Landskrona kommun;2120001140;..;..;..;..
Banérskolan;89749001;Leksand;2029;Enskild;Banérskolan AB;5590987201;..;..;..;..
Lindénska skolan;32205210;Lerum;1441;Kommunal;Lerums kommun;2120001447;..;..;..;..
Resursskolan;92466719;Lidköping;1494;Kommunal;Lidköpings kommun;2120001694;..;.;..;..
Arena resursskola;46987524;Linköping;0580;Kommunal;Linköpings kommun;2120000449;..;..;..;..
Berzelius resursskola 5;92684657;Linköping;0580;Kommunal;Linköpings kommun;2120000449;..;..;..;..
Dar Al Uloum skola;80769468;Linköping;0580;Enskild;Stiftelsen Dar Al Uloum i Linköping;8220031978;..;..;..;..
Ekholmen resursskola;54367190;Linköping;0580;Kommunal;Linköpings kommun;2120000449;..;.;..;..
Ljungsbro resursskola;53301745;Linköping;0580;Kommunal;Linköpings kommun;2120000449;..;..;..;..
Pandionskolan;16928929;Linköping;0580;Enskild;Frösunda IoF AB;5565972352;12;.;..;..
Slussen resursskola;77844194;Linköping;0580;Kommunal;Linköpings kommun;2120000449;..;.;.;..
Stångåskolan;25519969;Linköping;0580;Kommunal;Linköpings kommun;2120000449;..;..;..;..
Tinnerbäcken resursskola;24877681;Linköping;0580;Kommunal;Linköpings kommun;2120000449;..;.;..;..
Los skola;87366152;Ljusdal;2161;Kommunal;Ljusdals kommun;2120002320;..;..;..;..
Fredriksbergsskolan;88233361;Ludvika;2085;Kommunal;Ludvika kommun;2120002270;..;..;..;..
Innovitaskolan Luleå;55520065;Luleå;2580;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;..;..;..;..
Luleå Internationella grundskola;83835836;Luleå;2580;Kommunal;Luleå kommun;2120002742;..;..;..;..
Resursskolan;41596705;Lycksele;2481;Kommunal;Lycksele kommun;2120002635;..;.;..;..
Kommunikationsskolan;51220608;Malmö;1280;Kommunal;Malmö kommun;2120001124;..;..;..;..
Rönnens resursskola;56810099;Malmö;1280;Kommunal;Malmö kommun;2120001124;..;..;..;..
Ängsskolan F-9;88046548;Mora;2062;Kommunal;Mora kommun;2120002213;..;.;..;..
Myrsjö resursskola;90207041;Nacka;0182;Kommunal;Nacka kommun;2120000167;..;..;..;..
Skuru-Duvnäs resursskola;80561156;Nacka;0182;Kommunal;Nacka kommun;2120000167;..;..;..;..
Hosiannaskolan;21342606;Nordanstig;2132;Enskild;Stiftelsen Nordanstigs Kristna Center;8875012570;..;..;..;..
Stegehus skola;73656861;Norrköping;0581;Enskild;Stiftelsen Steget;8250007922;..;..;..;..
Nyköpings resursskola;91728040;Nyköping;0480;Kommunal;Nyköpings kommun;2120002940;..;.;..;..
Studiero;98693413;Nyköping;0480;Enskild;Hvb Lappetorp AB;5565250247;10;.;..;..
Erkaboskolan;80096894;Nässjö;0682;Kommunal;Nässjö kommun;2120000548;..;.;.;..
Orust Waldorfskola;57712538;Orust;1421;Enskild;Waldorfpedagogik på Orust ekonomisk förening;7696143085;..;..;..;..
Änggården;14935978;Orust;1421;Kommunal;Orust kommun;2120001314;..;.;.;..
Visslan;65486343;Osby;1273;Kommunal;Osby kommun;2120000902;..;.;.;..
Gårdbyskolan;55662841;Pajala;2521;Kommunal;Pajala kommun;2120002718;..;..;..;..
Kangos Kultur- o ekologiskola;35837794;Pajala;2521;Enskild;Kangos Kultur och Ekologiskola;8976008238;..;..;..;..
Strandbackens resursskola;39175098;Piteå;2581;Kommunal;Piteå kommun;2120002759;..;..;..;..
Salemskolan;51578532;Salem;0128;Kommunal;Salems kommun;2120002874;..;..;..;..
Famn;68370166;Simrishamn;1291;Enskild;Famn AB;5566207113;..;..;..;..
Vollsjö Resursskola;78396564;Sjöbo;1265;Enskild;Almaröd Friskola AB;5566096227;..;..;..;..
Kugghjulets resursskola;78193353;Skurup;1264;Kommunal;Skurups kommun;2120001082;..;.;..;..
Svedenskolan Bergshamra;89893224;Solna;0184;Enskild;Utvecklingspedagogik Sverige Aktiebolag;5564715729;..;..;..;..
Kristinedalskolan AGR Resursskola;17669293;Stenungsund;1415;Kommunal;Stenungsunds kommun;2120001298;..;.;.;..
Alla Nationers Fria Skola;82838118;Stockholm;0180;Enskild;Ideella Föreningen för Alla Nationers Fria Skola;8024093869;..;..;..;..
Distra IRS;35784391;Stockholm;0180;Enskild;Distans Strateg Sweden AB;5565833562;..;..;..;..
Kunskapsskolans Resursskola;24671487;Stockholm;0180;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;12;..;..;..
Resursskolan vid Martinskolan;13954336;Stockholm;0180;Enskild;Stiftelsen Martinskolan Söders Waldorfskola;8020072644;..;..;..;..
Stefanskolan;53147557;Stockholm;0180;Enskild;Föreningen Stefanskolan;8020094994;..;..;..;..
Resursskolan i Strängnäs;49008533;Strängnäs;0486;Kommunal;Strängnäs kommun;2120000365;..;.;.;..
Fjällsjöskolan;82584417;Strömsund;2313;Kommunal;Strömsunds kommun;2120002486;..;..;..;..
Frostviksskolan;76970830;Strömsund;2313;Kommunal;Strömsunds kommun;2120002486;..;..;..;..
Igelbäckskolan;60521412;Sundbyberg;0183;Kommunal;Sundbybergs kommun;2120000175;..;..;..;..
Månsabo;22504161;Svalöv;1214;Kommunal;Svalövs kommun;2120000993;..;.;.;..
HamnaSkolan;99882962;Söderhamn;2182;Enskild;Ellithan AB;5568042070;..;..;..;..
Magelungens Grundskola Södertälje;14872951;Södertälje;0181;Enskild;Magelungen Utveckling AB;5564891447;..;..;..;..
Mikaelgården Läkeped. Institut;73075913;Södertälje;0181;Enskild;Föreningen Mikaelgårdens Läkepedagogiska Inst;8156002795;..;..;..;..
Mora Parks skola;26804905;Södertälje;0181;Enskild;Stiftelsen Mora Park;8156003926;..;..;..;..
Solvikskolan;45994471;Södertälje;0181;Enskild;Stödföreningen för Solvikskolan;8156005145;..;..;..;..
Särskild undervisningsgrupp 7-9;56167054;Tranås;0687;Kommunal;Tranås kommun;2120000597;..;..;..;..
Borgen;34304361;Trelleborg;1287;Kommunal;Trelleborgs kommun;2120001199;..;..;..;..
Värnet;90410822;Trelleborg;1287;Kommunal;Trelleborgs kommun;2120001199;..;..;..;..
Nytorpsskolan;34125463;Täby;0160;Enskild;Nytida Enigma AB;5564870771;10;..;..;..
Svalnäs skola;84230778;Täby;0160;Enskild;Svalnäs, ekonomisk förening;7696236806;..;.;..;..
Nordanskolan;26480342;Upplands Väsby;0114;Kommunal;Upplands Väsby kommun;2120000019;..;..;..;..
Sjumilaskolan;63150475;Upplands Väsby;0114;Kommunal;Upplands Väsby kommun;2120000019;..;..;..;..
Stavby skola;72802066;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;..;..;..;..
Björkedalsskolan;38730714;Varberg;1383;Kommunal;Varbergs kommun;2120001249;..;.;..;..
Vänerparkens skola 1;55989938;Vänersborg;1487;Kommunal;Vänersborgs kommun;2120001538;..;.;..;..
Kullsvedsskolan, Grundskola;67362048;Värmdö;0120;Kommunal;Värmdö kommun;2120000035;..;..;..;..
Gamlebyvikens friskola;80536102;Västervik;0883;Enskild;Josua Education AB;5590945852;..;..;..;..
Kordelia Friskola AB;65951625;Ånge;2260;Enskild;Kordelia friskola AB;5565696852;..;..;..;..
Ånge resursskola;44571484;Ånge;2260;Kommunal;Ånge kommun;2120002387;..;.;.;..
Adolfsbergsskolan anpassad grundskola och RH;48863032;Örebro;1880;Kommunal;Örebro kommun;2120001967;..;.;.;..
Magelungens Grundskola Örebro;27319904;Örebro;1880;Enskild;Magelungen Utveckling AB;5564891447;..;.;..;..
Bäckagårdsskolan;50936464;Örnsköldsvik;2284;Enskild;Impius Vård och Utbildning AB;5566824693;..;.;..;..
Östersunds resursskola;15086959;Östersund;2380;Kommunal;Östersunds kommun;2120002528;..;.;.;..
Östersunds Waldorfskola;58288551;Östersund;2380;Enskild;Vidarskolan AB (svb);5566578307;..;.;..;..
Överkalix Friskola;13342436;Överkalix;2513;Enskild;Överkalix Kultur- och Miljöskola;8982006515;..;..;..;..
Hietaniemi Friskoleförening;46252858;Övertorneå;2518;Enskild;Hietaniemi Friskoleförening;8976010887;..;..;..;..
Svanstein skola Diamanten;90707437;Övertorneå;2518;Kommunal;Övertorneå kommun;2120002700;..;..;..;..
British International School;66620411;Danderyd;0162;Enskild;Stiftelsen Borgen 2 - British International School Stockholm;8024777289;20;.;.;.
ISGR/International section;30191226;Göteborg;1480;Enskild;Göteborgsregionens Internationella Skola AB;5565275657;65;.;.;.
International school of Hbg/Gr;47717980;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;62;.;.;.
Hudiksvalls resursskola;22220523;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;..;.;.;.
Lund International School;35615086;Lund;1281;Enskild;Lund International School ek. för.;7696113914;15;.;.;.
Bladins International School of Malmö;78986228;Malmö;1280;Enskild;Bladins Skola, Stiftelsen;8460010948;67;.;.;.
Malmö International School;56446897;Malmö;1280;Kommunal;Malmö kommun;2120001124;50;.;.;.
Sigtunaskolan hum. läroverket, int gr;47969716;Sigtuna;0191;Enskild;Sigtuna Skolstiftelse;8148002879;21;.;.;.
IES International School Skellefteå;87867210;Skellefteå;2482;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;..;.;.;.
Resursskolan;12091538;Skövde;1496;Kommunal;Skövde kommun;2120001710;..;.;.;.
Futuraskolan International School of Stockholm;40978257;Stockholm;0180;Enskild;Futuraskolan AB;5566095047;27;.;.;.
International School of Kungsholmen;33733966;Stockholm;0180;Enskild;AB Parts & Paomees;5567025696;21;.;.;.
International School of the Stockholm Region;26172429;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;52;.;.;.
Lycée Francais Saint Louis, gr;40610606;Stockholm;0180;Enskild;Lycée Francais Saint-Louis;9020041852;41;.;.;.
Stift. Sthlm Intern. School gr;85670099;Stockholm;0180;Enskild;Stiftelsen Stockholm International School;8024264775;89;.;.;.
Tyska skolan;53175499;Stockholm;0180;Enskild;Tyska Skolföreningen;8020056530;49;.;.;.
Uppsala International School (UIS);76938456;Uppsala;0380;Enskild;English Education AB;5591668248;..;.;.;.
Mälardalen International School (MISV);27319086;Västerås;1980;Enskild;Industritekniska Gymnasiet Bergslagen AB;5566081740;..;.;.;.
Fredrikshovs slotts skola;64065082;Stockholm;0180;Enskild;Stiftelsen Carpe Diem;8020178060;31;93,5;100;311,2
Futuraskolan International Rådan;47986219;Sollentuna;0163;Enskild;Futuraskolan AB;5566095047;23;100;100;304
Carlssons skola;35547286;Stockholm;0180;Enskild;Föreningen för Carlssons Skola;8020058270;65;98,5;~100;302
Campus Manilla;29371242;Stockholm;0180;Enskild;Campus Manilla Utbildning AB;5568834765;52;96,2;100;300,7
Enskilda gymnasiet, gr;92750123;Stockholm;0180;Enskild;Enskilda Gymnasiet;8020126531;89;95,5;~100;300,6
Europaskolan;79969356;Stockholm;0180;Enskild;AB Parts & Paomees;5567025696;48;97,9;100;299,8
Adolf Fredriks musikklasser;99648792;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;192;94,3;~100;299,1
Vasa International School of Stockholm;52965560;Stockholm;0180;Enskild;AB Parts & Paomees;5567025696;23;95,7;100;298,7
Musikskolan Lilla Akademien;36066067;Stockholm;0180;Enskild;Musikskolan Lilla Akademien AB;5565510756;29;96,6;100;298,4
Lundsbergs grundskola;26377128;Storfors;1760;Enskild;Stiftelsen Lundsbergs Skola;8740019362;48;97,9;100;297,7
Franska Skolan/Ecole francaise;42328518;Stockholm;0180;Enskild;Stiftelsen Franska Skolan;8020061530;94;98,9;100;296,2
Spirande lärande i Täby AB;89424201;Täby;0160;Enskild;Spirande lärande i Täby AB;5565917993;30;100;100;295,3
Uppsala Musikklasser;89387408;Uppsala;0380;Enskild;Stiftelsen Uppsala Musikklasser;8176054917;86;96,5;~100;293,9
Sollentuna musikklasser;21871265;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;61;100;100;292,5
JENSEN grundskola Göteborg;62764006;Göteborg;1480;Enskild;Jensen Education College AB;5566358759;60;95;~100;292,2
Gärdesskolan;41176931;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;89;91;93,3;291,9
Montessori Mondial Kungsholmen;45553352;Stockholm;0180;Enskild;International Montessori School Sweden AB;5567640205;58;94,8;100;291,5
Ebba Braheskolan;91067048;Nacka;0182;Enskild;Ebba Braheskolan AB;5590468624;53;96,2;~100;290,2
Europaportens grundskola;24339301;Malmö;1280;Enskild;Europaportens Skolor AB;5568350572;25;88;~100;289,6
Äppelviksskolan;15594566;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;168;95,8;97;289,2
Kungliga Svenska Balettskolan;63321041;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;16;100;100;288,8
Svenska Balettskolan 4-9;24937512;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;16;100;100;288,5
Viktor Rydbergs skola Jarlaplan;86758230;Stockholm;0180;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;144;97,2;~100;286,4
Viktor Rydbergs samskola Djursholm;13493243;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;185;97,3;~100;285,7
Rälsen AB åk 4-9;43375546;Sollentuna;0163;Enskild;Rälsen Aktiebolag;5564524220;29;93,1;~100;285,3
Källängens skola;69329486;Lidingö;0186;Kommunal;Lidingö kommun;2120000191;148;93,9;~100;285,1
JENSEN grundskola Sickla;52925821;Nacka;0182;Enskild;Jensen Education College AB;5566358759;93;92,5;~100;285,1
Kulturskolan Raketen;24172067;Stockholm;0180;Enskild;Kulturskolan Raketen AB;5565484796;25;92;~100;285,1
Noblaskolan Solna;27323097;Solna;0184;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;54;100;100;284,8
Kungsholmens grundskola;29410344;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;80;93,8;93,8;284,8
Vasastans Montessoriskola;75656508;Stockholm;0180;Enskild;Vasastans Montessoriförskola;8020120971;17;94,1;100;284,4
Futuraskolan International Stockholm;65487837;Stockholm;0180;Enskild;Futuraskolan AB;5566095047;26;92,3;~100;284,2
