school_id,school_name,municipality,address,merit_value,school_type,latitude,longitude
64065082,Fredrikshovs slotts skola,Stockholm,Fredrikshovsgatan 6,311.2,Enskild,59.3330037,18.0944231
47986219,Futuraskolan International Rådan,Sollentuna,Rådan skolan 3,304.0,Enskild,59.3997384,18.0010001
35547286,Carlssons skola,Stockholm,Kommendörsgatan 31,302.0,Enskild,59.3380493,18.0827216
29371242,Campus Manilla,Stockholm,Manillavägen 32-36,300.7,Enskild,59.329368,18.1319847
92750123,"Enskilda gymnasiet, gr",Stockholm,Tegnérlunden 5,300.6,Enskild,59.337888,18.0554537
79969356,Europaskolan,Stockholm,Gotlandsgatan 43,299.8,Enskild,59.3098313,18.0771624
99648792,Adolf Fredriks musikklasser,Stockholm,Tegnérgatan 44-46,299.1,Kommunal,59.3373443,18.0509847
52965560,Vasa International School of Stockholm,Stockholm,Luntmakargatan 101,298.7,Enskild,59.3440694,18.0569868
36066067,Musikskolan Lilla Akademien,Stockholm,Norrtullsgatan 14,298.4,Enskild,59.3459263,18.0484329
26377128,Lundsbergs grundskola,Storfors,Lundsberg,297.7,Enskild,59.4945853,14.1759835
42328518,Franska Skolan/Ecole francaise,Stockholm,Döbelsgatan 9,296.2,Enskild,59.3251172,18.0710935
89424201,Spirande lärande i Täby AB,Täby,Eskadervägen 10,295.3,Enskild,59.4307824,18.0952855
89387408,Uppsala Musikklasser,Uppsala,Seminariegatan 1,293.9,Enskild,59.8680887,17.6190496
21871265,Sollentuna musikklasser,Sollentuna,Sollentunavägen 265-267,292.5,Kommunal,59.4482749,17.938619
62764006,JENSEN grundskola Göteborg,Göteborg,Viktoriagatan 17,292.2,Enskild,57.6987006,11.9652248
41176931,Gärdesskolan,Stockholm,Banérgatan 56,291.9,Kommunal,59.340019,18.0975769
45553352,Montessori Mondial Kungsholmen,Stockholm,Konradsbergsgatan 12-24,291.5,Enskild,59.3305237,18.0137322
91067048,Ebba Braheskolan,Nacka,Kvarnholmsvägen 93,290.2,Enskild,59.3167021,18.1408576
24339301,Europaportens grundskola,Malmö,Eric Perssons väg 10 B,289.6,Enskild,55.5828459,12.9900214
15594566,Äppelviksskolan,Stockholm,Alviksvägen 97,289.2,Kommunal,59.3239043,17.9746664
63321041,Kungliga Svenska Balettskolan,Stockholm,"Söder Mälarstrand 39, 7 tr",288.8,Kommunal,59.3140545,18.0711342
24937512,Svenska Balettskolan 4-9,Göteborg,Herr Arnes Gata 8,288.5,Kommunal,57.7489136,11.984223
86758230,Viktor Rydbergs skola Jarlaplan,Stockholm,Kungstensgatan 6,286.4,Enskild,59.3433796,18.0647989
13493243,Viktor Rydbergs samskola Djursholm,Danderyd,Viktor Rydbergs väg 2,285.7,Enskild,59.4025382,18.0825469
43375546,Rälsen AB åk 4-9,Sollentuna,Staffans väg 13,285.3,Enskild,59.4827605,17.9146698
24172067,Kulturskolan Raketen,Stockholm,Björkhagsplan 5-9,285.1,Enskild,59.2910762,18.1166967
52925821,JENSEN grundskola Sickla,Nacka,Planiavägen 15,285.1,Enskild,59.3057775,18.1309492
69329486,Källängens skola,Lidingö,Källängsvägen 1,285.1,Kommunal,59.3741866,18.1439525
27323097,Noblaskolan Solna,Solna,Gustav III:s Boulevard 15,284.8,Enskild,59.3687191,18.0146977
29410344,Kungsholmens grundskola,Stockholm,S:t Göransgatan 73,284.8,Kommunal,59.3334134,18.0279578
75656508,Vasastans Montessoriskola,Stockholm,Hälsingegatan 23-25,284.4,Enskild,59.343184,18.0420379
65487837,Futuraskolan International Stockholm,Stockholm,Erik Dahlbergsgatan 58-62,284.2,Enskild,59.3414198,18.0911508
31528772,Mariaskolan,Södertälje,Hjulåkersvägen 1,283.6,Enskild,59.0858042,17.559856
39915890,Maleviksskolan,Kungsbacka,Maleviksvägen 84,282.9,Kommunal,57.5324392,11.9606928
